"TXPID","ENTREZID","GENEBANKID","GENENAME","logFC","logCPM","F","PValue","FDR"
"RockDoveHPG_Transcript_13089",427254,"XM_015280289.1","ZFAND5",427254,1.40435062985841,6.83483332840831,128.817051754098,3.12158127019319e-17,4.71421203424576e-13
"RockDoveHPG_Transcript_61617",448833,"XM_015276320.1","BTC",448833,4.45366176978821,3.86794803803185,116.410360652369,2.83017032583472e-16,2.1370616130378e-12
"RockDoveHPG_Transcript_23476",395465,"NM_204718.2","annotated by transcript or proteomic data",395465,3.67005312764625,4.69526621102649,102.580744231319,4.03680234891269e-15,2.03212630244265e-11
"RockDoveHPG_Transcript_11142",421944,"XM_004935766.2","GREB1",421944,3.707199162766,6.82305209070477,91.5746353323316,4.60544840167735e-14,1.73878704405328e-10
"RockDoveHPG_Transcript_2015",427398,"XM_424972.5","KIF24",427398,2.6618572610789,5.78161487337658,73.1771418911152,2.483755575639e-12,7.50193534066003e-09
"RockDoveHPG_Transcript_71745",396491,"NM_205495.1","annotated by transcript or proteomic data",396491,4.34368922182046,4.96742859273742,70.1383387839866,5.95379853328673e-12,1.49857109082827e-08
"RockDoveHPG_Transcript_13243",427410,"NM_001044664.1","annotated by transcript or proteomic data",427410,6.81649959415261,6.48380372001304,67.9495410303696,1.24284183877191e-11,2.68134249273334e-08
"RockDoveHPG_Transcript_50352",374159,"XM_015277422.1","ATP5A1",374159,7.63381993041208,1.48182662846653,70.2718410341369,2.1561851533386e-11,4.07033852321495e-08
"RockDoveHPG_Transcript_5859",418978,"XM_015278147.1","PDGFD",418978,1.98748983596754,5.46388240611435,63.3664041149287,2.90422080748849e-11,4.53708045797507e-08
"RockDoveHPG_Transcript_15572",428455,"XM_015281726.1","MYRIP",428455,1.4250578774474,5.81316997476901,63.236340987881,3.00429112566221e-11,4.53708045797507e-08
"RockDoveHPG_Transcript_39149",100858782,"XM_015296087.1","PROCA1",100858782,4.18451774447534,3.53316400549143,59.7625566786813,7.59562822658382e-11,1.04281070434426e-07
"RockDoveHPG_Transcript_2681",425353,"XM_015286070.1","DYSF",425353,2.24804855626096,6.15927152356752,58.6949199701916,1.01219055601208e-10,1.2738418147412e-07
"RockDoveHPG_Transcript_22293",423394,"XM_421304.5","GALC",423394,1.22027293182917,6.45721951626896,56.9097969952814,1.63053543965103e-10,1.80064352919995e-07
"RockDoveHPG_Transcript_23585",427584,"XM_015293376.1","COL7A1",427584,2.88340399477096,3.61237872488748,56.824299303165,1.66924972909544e-10,1.80064352919995e-07
"RockDoveHPG_Transcript_30592",395885,"XM_015277246.1","CNTFR",395885,2.31632649811024,4.91226824758778,56.026190416159,2.08103009073835e-10,2.09518109535537e-07
"RockDoveHPG_Transcript_23654",768769,"XM_001231674.2","SNAPC3",768769,-1.24027477415007,5.73783394667301,55.4255248200976,2.45637766525381e-10,2.26692254853816e-07
"RockDoveHPG_Transcript_2165",427310,"XM_015280604.1","RNF20",427310,-1.06341531344698,7.27720368190645,55.288384593168,2.55182646835841e-10,2.26692254853816e-07
"RockDoveHPG_Transcript_22172",427297,"XM_004949342.2","HOOK3",427297,-0.930489568254809,7.24413159618648,54.1181100830417,3.53931699433793e-10,2.91540965037783e-07
"RockDoveHPG_Transcript_18669",418041,"XM_015288372.1","CARD10",418041,2.31230226171595,3.54986437146505,53.9911420829851,3.66791043286842e-10,2.91540965037783e-07
