 Name	ovary	testes	pituitary	hypothalamus
 RockDoveHPG_Transcript_0 	1	1	1	1
 RockDoveHPG_Transcript_1 	1	1	1	1
 RockDoveHPG_Transcript_10 	1	1	1	1
 RockDoveHPG_Transcript_100 	1	1	1	1
 RockDoveHPG_Transcript_1000 	1	1	1	1
 RockDoveHPG_Transcript_10000 	1	1	1	0
 RockDoveHPG_Transcript_10001 	1	1	1	1
 RockDoveHPG_Transcript_10003 	1	1	1	1
 RockDoveHPG_Transcript_10004 	1	1	1	1
 RockDoveHPG_Transcript_10005 	1	1	1	1
 RockDoveHPG_Transcript_10006 	0	0	1	0
 RockDoveHPG_Transcript_10007 	0	0	1	0
 RockDoveHPG_Transcript_10008 	1	1	1	1
 RockDoveHPG_Transcript_10009 	1	1	1	1
 RockDoveHPG_Transcript_1001 	1	1	1	1
 RockDoveHPG_Transcript_10010 	1	1	1	1
 RockDoveHPG_Transcript_10011 	0	1	0	0
 RockDoveHPG_Transcript_10013 	1	1	1	1
 RockDoveHPG_Transcript_10014 	1	1	1	1
 RockDoveHPG_Transcript_10015 	1	1	1	1
 RockDoveHPG_Transcript_10016 	1	1	0	0
 RockDoveHPG_Transcript_10017 	1	0	1	1
 RockDoveHPG_Transcript_10019 	1	1	1	1
 RockDoveHPG_Transcript_10021 	1	1	1	1
 RockDoveHPG_Transcript_10022 	1	1	1	1
 RockDoveHPG_Transcript_10023 	1	1	1	1
 RockDoveHPG_Transcript_10025 	1	1	1	1
 RockDoveHPG_Transcript_10026 	1	1	1	1
 RockDoveHPG_Transcript_10027 	0	0	1	0
 RockDoveHPG_Transcript_10028 	1	1	1	1
 RockDoveHPG_Transcript_10029 	1	1	1	1
 RockDoveHPG_Transcript_10030 	1	1	1	1
 RockDoveHPG_Transcript_10031 	1	1	1	1
 RockDoveHPG_Transcript_10032 	1	1	1	1
 RockDoveHPG_Transcript_10033 	1	1	1	1
 RockDoveHPG_Transcript_10034 	1	1	0	0
 RockDoveHPG_Transcript_10035 	1	1	1	1
 RockDoveHPG_Transcript_10036 	1	1	1	1
 RockDoveHPG_Transcript_10037 	1	1	1	1
 RockDoveHPG_Transcript_10039 	1	1	1	1
 RockDoveHPG_Transcript_1004 	0	1	1	0
 RockDoveHPG_Transcript_10040 	1	1	1	1
 RockDoveHPG_Transcript_10041 	1	1	1	1
 RockDoveHPG_Transcript_10043 	1	1	1	1
 RockDoveHPG_Transcript_10045 	1	1	1	1
 RockDoveHPG_Transcript_10047 	0	0	1	1
 RockDoveHPG_Transcript_10048 	1	1	1	1
 RockDoveHPG_Transcript_10049 	1	0	1	1
 RockDoveHPG_Transcript_10050 	1	1	1	1
 RockDoveHPG_Transcript_10051 	0	0	0	0
 RockDoveHPG_Transcript_10052 	1	1	1	1
 RockDoveHPG_Transcript_10053 	1	1	1	1
 RockDoveHPG_Transcript_10054 	1	1	1	1
 RockDoveHPG_Transcript_10055 	0	1	1	1
 RockDoveHPG_Transcript_10057 	1	1	1	1
 RockDoveHPG_Transcript_10058 	1	1	1	1
 RockDoveHPG_Transcript_10059 	0	1	0	0
 RockDoveHPG_Transcript_10060 	0	1	0	0
 RockDoveHPG_Transcript_10061 	1	1	1	1
 RockDoveHPG_Transcript_10063 	0	0	1	1
 RockDoveHPG_Transcript_10064 	1	1	1	1
 RockDoveHPG_Transcript_10065 	0	0	1	1
 RockDoveHPG_Transcript_10066 	1	1	1	0
 RockDoveHPG_Transcript_10067 	1	1	1	1
 RockDoveHPG_Transcript_10068 	1	1	1	1
 RockDoveHPG_Transcript_1007 	1	1	1	1
 RockDoveHPG_Transcript_10070 	1	1	1	1
 RockDoveHPG_Transcript_10071 	0	0	0	1
 RockDoveHPG_Transcript_10072 	1	1	1	1
 RockDoveHPG_Transcript_10073 	1	1	1	1
 RockDoveHPG_Transcript_10074 	1	1	1	1
 RockDoveHPG_Transcript_10075 	1	1	0	1
 RockDoveHPG_Transcript_10076 	1	1	1	1
 RockDoveHPG_Transcript_10078 	1	1	1	1
 RockDoveHPG_Transcript_1008 	1	1	1	1
 RockDoveHPG_Transcript_10080 	1	1	1	1
 RockDoveHPG_Transcript_10081 	1	1	1	1
 RockDoveHPG_Transcript_10082 	0	0	1	0
 RockDoveHPG_Transcript_10083 	1	1	1	1
 RockDoveHPG_Transcript_10084 	1	1	1	1
 RockDoveHPG_Transcript_10085 	1	1	1	1
 RockDoveHPG_Transcript_10086 	1	1	1	1
 RockDoveHPG_Transcript_10087 	0	0	1	1
 RockDoveHPG_Transcript_10088 	0	0	0	0
 RockDoveHPG_Transcript_10089 	1	1	1	1
 RockDoveHPG_Transcript_1009 	1	1	1	1
 RockDoveHPG_Transcript_10090 	1	1	1	1
 RockDoveHPG_Transcript_10091 	1	1	1	1
 RockDoveHPG_Transcript_10093 	1	1	1	1
 RockDoveHPG_Transcript_10094 	0	1	1	1
 RockDoveHPG_Transcript_10095 	1	1	1	1
 RockDoveHPG_Transcript_10096 	1	1	1	1
 RockDoveHPG_Transcript_10097 	1	1	1	0
 RockDoveHPG_Transcript_10098 	1	1	1	1
 RockDoveHPG_Transcript_10099 	1	1	1	1
 RockDoveHPG_Transcript_1010 	1	1	1	1
 RockDoveHPG_Transcript_10100 	1	1	1	1
 RockDoveHPG_Transcript_10101 	1	0	1	1
 RockDoveHPG_Transcript_10102 	1	1	1	1
 RockDoveHPG_Transcript_10103 	1	1	1	1
 RockDoveHPG_Transcript_10104 	1	1	1	1
 RockDoveHPG_Transcript_10105 	1	1	1	1
 RockDoveHPG_Transcript_10106 	1	1	1	1
 RockDoveHPG_Transcript_10107 	0	1	0	0
 RockDoveHPG_Transcript_10108 	1	1	0	0
 RockDoveHPG_Transcript_10109 	1	1	1	1
 RockDoveHPG_Transcript_1011 	1	1	1	1
 RockDoveHPG_Transcript_10110 	1	0	1	1
 RockDoveHPG_Transcript_10111 	1	1	1	1
 RockDoveHPG_Transcript_10112 	1	0	1	0
 RockDoveHPG_Transcript_10113 	1	1	1	0
 RockDoveHPG_Transcript_10114 	1	1	1	1
 RockDoveHPG_Transcript_10115 	1	1	1	1
 RockDoveHPG_Transcript_10116 	1	1	1	1
 RockDoveHPG_Transcript_10118 	1	1	0	1
 RockDoveHPG_Transcript_10119 	1	1	0	1
 RockDoveHPG_Transcript_10121 	1	1	1	1
 RockDoveHPG_Transcript_10122 	1	1	1	1
 RockDoveHPG_Transcript_10123 	1	1	1	1
 RockDoveHPG_Transcript_10124 	1	1	1	1
 RockDoveHPG_Transcript_10125 	1	0	0	0
 RockDoveHPG_Transcript_10126 	1	1	1	1
 RockDoveHPG_Transcript_10127 	1	1	1	1
 RockDoveHPG_Transcript_10129 	1	1	1	1
 RockDoveHPG_Transcript_1013 	1	1	1	1
 RockDoveHPG_Transcript_10130 	1	1	1	1
 RockDoveHPG_Transcript_10131 	1	1	1	0
 RockDoveHPG_Transcript_10132 	1	1	1	1
 RockDoveHPG_Transcript_10133 	1	1	1	1
 RockDoveHPG_Transcript_10134 	1	1	1	1
 RockDoveHPG_Transcript_10135 	1	1	1	1
 RockDoveHPG_Transcript_10139 	1	1	1	1
 RockDoveHPG_Transcript_1014 	1	1	1	1
 RockDoveHPG_Transcript_10140 	0	1	1	1
 RockDoveHPG_Transcript_10141 	1	1	1	1
 RockDoveHPG_Transcript_10143 	0	1	0	0
 RockDoveHPG_Transcript_10144 	1	1	1	1
 RockDoveHPG_Transcript_10145 	1	0	1	0
 RockDoveHPG_Transcript_10146 	1	1	1	1
 RockDoveHPG_Transcript_10147 	1	1	1	1
 RockDoveHPG_Transcript_10150 	0	0	0	1
 RockDoveHPG_Transcript_10152 	1	1	1	1
 RockDoveHPG_Transcript_10153 	1	1	1	1
 RockDoveHPG_Transcript_10154 	1	1	1	1
 RockDoveHPG_Transcript_10155 	1	1	1	1
 RockDoveHPG_Transcript_10156 	1	0	1	1
 RockDoveHPG_Transcript_10158 	1	1	1	1
 RockDoveHPG_Transcript_10159 	1	1	1	1
