"entrezid","geneid","genbank","logFC","unshrunk.logFC","logCPM","PValue","FDR"
"XP_015153666.1",419751,"GRIK4","XP_015153666.1",1.12000807870857,1.12023201868007,6.2303006518581,9.76645797932637e-08,0.00145881582837198
"XP_004949683.1",427387,"SEMA6A","XP_004949683.1",1.74357079225113,1.7459462856919,5.87937364396011,1.0852086751632e-06,0.00810488099045638
"XP_015129283.1",107049991,"LOC107049991","XP_015129283.1",1.58208148069705,1.58500928212006,3.46205833986997,6.6051892005509e-06,0.0328872370295429
"XP_001232594.1",770169,"LRRN3","XP_001232594.1",2.03178460181076,2.08774016106625,4.49932288036129,1.05250253650862e-05,0.0393030759695733
"XP_421579.2",423698,"HKDC1","XP_421579.2",1.69880764743785,1.70228086951833,3.91953504178942,1.41497247365322e-05,0.0422708876779164
"XP_015136599.1",420395,"OBSCN","XP_015136599.1",2.7843065535511,2.8232349065495,0.254283197607608,1.96112710628489e-05,0.0488222593109624
"XP_416742.2",418533,"ABCG1","XP_416742.2",1.33238520848733,1.33340453043269,6.85324518570745,3.76957626229375e-05,0.0690132819213035
"XP_015129005.1",107049718,"SLC25A11","XP_015129005.1",-0.884977395345948,-0.886137397861981,4.7132964924872,3.83277695900108e-05,0.0690132819213035
"NP_001264524.1",415770,"C11H19ORF40","NP_001264524.1",-4.82562334608779,-144269483.010118,2.71175489471311,4.15826161405725e-05,0.0690132819213035
"XP_418246.4",420129,"IFI30","XP_418246.4",-2.27739375450491,-2.2933714373342,3.98560386626828,4.63085723459729e-05,0.0691711145131797
"XP_004935137.1",420807,"LOC420807","XP_004935137.1",-1.47548372537932,-1.48212826533951,3.14681738322339,7.98060255480398e-05,0.108369327601006
"XP_015150999.1",422100,"SPATA20","XP_015150999.1",0.770662602519578,0.770982844560318,5.13177229045473,9.67914507678749e-05,0.113453766052357
"XP_015156300.1",107055658,"LOC107055658","XP_015156300.1",1.64466816766298,1.6446689557297,16.0295336441394,9.87413107505286e-05,0.113453766052357
"XP_015127981.1",100858931,"EXOSC5","XP_015127981.1",-1.9996383149405,-2.01427565991632,2.17857982126626,0.00011076128719499,0.118174381916541
"XP_015136419.1",100859045,"APBB1","XP_015136419.1",-0.800096297959166,-0.800886690284158,5.78754909263023,0.000124673689026014,0.124150059532105
"XP_015144651.1",424019,"MLPH","XP_015144651.1",5.70637556680489,19.4892360210213,6.84313396171926,0.000140397474146456,0.125183188341638
"XP_015131275.1",769379,"GPR22","XP_015131275.1",2.58229739177411,2.78204199799773,3.46343075061652,0.000142566435157673,0.125183188341638
"XP_015141727.1",418170,"LOC418170","XP_015141727.1",4.71916900702101,144269482.90151,0.802282652335416,0.000150853410333365,0.125183188341638
"XP_004935728.1",421662,"TAGAP","XP_004935728.1",-1.17434381209748,-1.17449156102752,4.58772149881773,0.000168564671474006,0.132518447253012
