"GeneID","Entrez","logFC","logCPM","LR","PValue","FDR"
"404271","ANXA1",404271,-5.11096747269183,4.66208294621336,72.706882089561,1.50408681538063e-17,2.38503046314907e-13
"420706","TGM4",420706,-5.42513105523301,1.83948073425895,65.6590397939517,5.36085190790346e-16,4.25035143518125e-12
"431313","LOC431313",431313,-7.78748428017196,-0.0494054802415777,59.5297240794292,1.20460872539321e-14,6.3671601861867e-11
"107055128","LOC107055128",107055128,-8.22133473665054,1.42809241935717,57.3081938737243,3.72599694648273e-14,1.47707833950941e-10
"408040","KRT15",408040,-6.02984519259613,-0.508603151622161,40.7888161539812,1.69600942063701e-10,5.37872427660823e-07
"420896","SERPINB2",420896,-4.87154300307554,1.09130684610439,39.340127748759,3.56048466749085e-10,8.20292164538696e-07
"769726","LOC769726",769726,-4.89436605281106,7.39533551323113,39.3071428561162,3.62114217807332e-10,8.20292164538696e-07
"418151","NINJ2",418151,-3.42169593754113,5.13494456824181,37.7515100342338,8.03544941815468e-10,1.59272651779599e-06
"395921","CNP",395921,-1.82122984247844,7.80119467343422,36.3629437001791,1.63787843645695e-09,2.8857598185442e-06
"419414","TMEM88B",419414,-4.74611655188793,3.07885367966382,35.9530541761793,2.02129293500978e-09,3.20516420704501e-06
"395573","SOX10",395573,-4.3838256216419,3.63333738744376,35.3764948339315,2.71746648438359e-09,3.85321459609587e-06
"395591","NKX6-2",395591,-5.12099602579041,2.46887184543459,35.2391828243819,2.91597245085138e-09,3.85321459609587e-06
"417431","APOH",417431,-5.27539400892096,5.70473408069298,32.7860441376833,1.02880817981391e-08,1.2549085621007e-05
"395715","SERPINB10",395715,-3.02804046653152,2.24815220645035,30.7824294621782,2.88639554032177e-08,3.26925529163445e-05
"396491","LGALS1",396491,2.89368609482505,4.45079147435752,28.9562254826574,7.4032500373959e-08,7.78766594936002e-05
"415687","FA2H",415687,-2.6229253349205,3.31486946858475,28.8407827464655,7.85789589391186e-08,7.78766594936002e-05
"419969","GFAP",419969,-5.71620837854647,6.63549985665057,26.5387257362872,2.58307782618359e-07,0.000240940382881136
"425975","HAPLN2",425975,-5.86988455717888,2.91529435643299,25.2695922484972,4.98506068413944e-07,0.000439156151491106
"428612","OLIG2",428612,-4.86748702511192,4.04074180463126,23.2687106764365,1.40873246004337e-06,0.00117569845362673
"422966","C5H11ORF9",422966,-2.18529910148224,4.86601241875766,22.7531111040294,1.8420568276035e-06,0.00146047475576543
"424593","SEPP1L",424593,-3.15735376484613,5.97795956920383,20.5778881975777,5.72536013372768e-06,0.00432319217335809
"417964","EMP1",417964,-1.76817734343055,2.88209219725875,20.3267452174476,6.52816676307949e-06,0.00470532456191597
"100859224","LOC100859224",100859224,-5.05695108376605,1.88201287065207,20.1095980253582,7.31287663600586e-06,0.00504175151378891
"431596","ANKDD1B",431596,3.15720690183689,1.56910452494482,19.701788208868,9.05166247392696e-06,0.00598050882704416
"422556","DCTD",422556,1.53068172827634,2.98581567896518,19.5072726313621,1.00217401031407e-05,0.00635658931262011
"425976","BCAN",425976,-4.36479998131436,3.67459955177539,18.9480795538391,1.34324420877323e-05,0.00819223977635274
"107050516","LOC107050516",107050516,-1.84095482116112,5.47500497124587,18.6148906082198,1.5996618210371e-05,0.00939475462821676
