"rockdoveid","entrezid","genbankid","name","geneid","logFC","logCPM","F","PValue","FDR"
"929","RockDoveHPG_Transcript_29159",101747844,"XM_004941622.2","LOC101747844",101747844,-5.25243487188384,4.79174269708069,84.6730952422114,3.13863034279265e-16,5.41790369772866e-12
"6041","RockDoveHPG_Transcript_79800",396423,"NM_205442.1","annotated",396423,-5.02923056687174,0.22608140720575,60.7038755132,1.05174746411658e-12,9.07763236279020e-09
"6062","RockDoveHPG_Transcript_79803",396449,"XM_015290972.1","RBP",396449,5.84769347641136,4.37257888333667,57.1985563901149,4.0448958818798e-12,2.32743309043363e-08
"5568","RockDoveHPG_Transcript_17077",395853,"NM_205003.2","annotated",395853,-1.54809185960262,8.2003937674191,55.5352762977624,6.9561318448714e-12,2.48287555440659e-08
"9361","NODE_27062_length_672_cov_44.6483",419300,"XM_015296583.1","WFDC2",419300,-5.47642845904872,1.12059006714429,58.3686917352886,7.19173778938302e-12,2.48287555440659e-08
"621","RockDoveHPG_Transcript_34493",100859223,"XM_015289972.1","MUC13",100859223,-3.64359656540246,2.53036300510265,52.0307550909298,2.57796979390583e-11,7.41681909706708e-08
"3968","NODE_43694_length_464_cov_13.7237",107055417,"XM_015300370.1","LOC107055417",107055417,-6.64757137703279,-0.676296504157548,51.7613161976417,3.83416903123216e-11,9.4550608310185e-08
"1396","NODE_6057_length_2029_cov_32.8992",101750367,"XM_015296595.1","LOC101750367",101750367,-4.12890873455355,1.45520274775671,50.5264120380927,4.55764591924849e-11,9.83426048225843e-08
"10091","RockDoveHPG_Transcript_14663",420270,"XM_004939987.2","OXR1",420270,1.01114077895111,7.89997613576582,48.2389062607117,1.09368578630342e-10,2.09768933812997e-07
"13685","RockDoveHPG_Transcript_27546",424904,"XM_015291505.1","FCGBP",424904,-3.36930697824557,3.84588636682826,46.1813752964117,2.43729151572417e-10,3.89156228640125e-07
"13820","NODE_130447_length_251_cov_1.84184",425107,"XM_015288415.1","LGALS2",425107,-3.68155746004212,0.950613069710975,46.5096654375451,2.6281636956597e-10,3.89156228640125e-07
"8050","RockDoveHPG_Transcript_16385",417647,"XM_415893.5","CA4",417647,-3.40484216667546,4.399792061771,45.9293611384674,2.70529182231578e-10,3.89156228640125e-07
"10058","NODE_138324_length_244_cov_1.24868",420225,"XM_015282915.1","CDH17",420225,-3.63092386482497,0.0344247616345439,45.0611063458803,3.75804891489447e-10,4.96320836609611e-07
"15170","RockDoveHPG_Transcript_53580",428310,"NM_001010842.2","HSP25",428310,-2.90952658898239,4.05063968196978,44.8890813963224,4.02531092140803e-10,4.96320836609611e-07
"8048","RockDoveHPG_Transcript_2486",417645,"NM_001030723.1","annotated",417645,0.854294171225373,6.56018563808147,44.435090694759,4.80493887443731e-10,5.52952365670245e-07
"11830","RockDoveHPG_Transcript_2695",422515,"XM_015276610.1","FAM13A",422515,-2.23393686805814,5.9675906829125,44.2497712922347,5.19064138226207e-10,5.60005322128799e-07
"16824","RockDoveHPG_Transcript_32959",771251,"XM_015294495.1","UBFD1",771251,2.13746083063279,6.63330512241338,44.0881701366529,5.53159088294586e-10,5.61684246008302e-07
"5817","RockDoveHPG_Transcript_39482",396151,"NM_205226.2","annotated",396151,5.37638120912862,4.82135596170827,43.0272041388659,8.98699951904696e-10,8.17985807058689e-07
"4148","RockDoveHPG_Transcript_42445",107056139,"XM_015301173.1","LOC107056139",107056139,-2.41521106725344,2.70702265694551,42.8453769723165,9.00343548494675e-10,8.17985807058689e-07
"11803","RockDoveHPG_Transcript_4200",422484,"XM_015276654.1","unclassified transcription discrepancy",422484,1.46197958003666,4.95048754230764,42.217888157636,1.15541093727419e-09,9.72571355127625e-07
"6409","RockDoveHPG_Transcript_4441",415464,"XM_015292030.1","LMNA",415464,1.58998833469284,6.13781368445378,42.076316299277,1.22244961634676e-09,9.72571355127625e-07
"1972","NODE_8480_length_1668_cov_232.808",107049652,"XR_001462001.1","LOC107049652",107049652,5.01487847310906,7.39515011321636,42.2048382372596,1.23951858491529e-09,9.72571355127625e-07
"8208","NODE_15851_length_1044_cov_11.2831",417854,"NM_001199650.1","TSPAN8",417854,-3.26481407437641,2.00834644640976,41.8715375589436,1.32646759665e-09,9.95542767537925e-07
"5171","RockDoveHPG_Transcript_13937",395387,"NM_204667.1","annotated",395387,-2.41403169152421,5.54435317827366,41.1077431529151,1.81646619815769e-09,1.30649331302492e-06
"10516","RockDoveHPG_Transcript_4482",420821,"XM_015275947.1","DCDC2",420821,-3.40587994647129,5.72462817686125,39.8137380351925,3.15567241302275e-09,2.17892868774395e-06
"2124","NODE_299983_length_146_cov_3.07692",107050494,"XM_015274229.1","LOC107050494",107050494,-5.04310988689331,-0.765127887511095,41.00098151691,3.53009327671105e-09,2.34371039009947e-06
"4436","NODE_297880_length_150_cov_2.34737",107057318,"XR_001471416.1","LOC107057318",107057318,5.49256411132239,-1.01213386662891,39.2061408519938,3.87414551864978e-09,2.39312539289484e-06
"8204","RockDoveHPG_Transcript_25866",417850,"XM_015282894.1","AC025263.3",417850,1.58817547349154,6.56831337021633,39.2012748044353,3.88179301361693e-09,2.39312539289484e-06
"15591","RockDoveHPG_Transcript_73293",429052,"XM_015290193.1","CYTIP",429052,-4.98747669029058,2.01927543890334,38.9841087685632,4.28671891670769e-09,2.55163248069683e-06
"10997","RockDoveHPG_Transcript_25414",421435,"XM_015283791.1","RNF8",421435,0.998985570091623,6.1915287036784,38.8023081822578,4.56389754568283e-09,2.6260666477859e-06
"11270","RockDoveHPG_Transcript_2183",421783,"XM_015284542.1","AIM1",421783,1.88807822834936,6.16665297905065,36.875589929785,1.00369619567384e-08,5.46875545048983e-06
"10256","RockDoveHPG_Transcript_22327",420502,"XM_418604.5","OTUD1",420502,-1.38114966618932,4.6420255652908,36.8490345795318,1.01378852054035e-08,5.46875545048983e-06
"9169","RockDoveHPG_Transcript_35204",419054,"XM_015281017.1","CHRDL2",419054,3.682840369033,1.53402622539019,36.3873665367231,1.2259323462133e-08,6.41274065464665e-06
"6975","RockDoveHPG_Transcript_62506",416223,"XM_015293880.1","CDHR2",416223,-3.47060783818778,1.75612963564347,36.2066865121915,1.32076131317855e-08,6.67766107704729e-06
"8106","RockDoveHPG_Transcript_15107",417723,"XM_015275764.1","CCDC146",417723,-1.93195700500701,5.58891808627573,36.1486820174489,1.35394587936887e-08,6.67766107704729e-06
"664","RockDoveHPG_Transcript_45893",100859381,"XM_004936303.2","LOC100859381",100859381,4.93832141623669,6.73830900696858,35.8999148373663,1.52299824133577e-08,7.30277656720501e-06
"14946","NODE_283292_length_165_cov_3.16364",427900,"XM_015288730.1","CACNA1I",427900,2.1778665817905,3.54731936271395,35.7224053116296,1.61335283327312e-08,7.4042199711666e-06
"14392","RockDoveHPG_Transcript_3443",426942,"NM_001031408.1","annotated",426942,0.751899082087823,6.57009920924962,35.6976880113752,1.62994067260069e-08,7.4042199711666e-06
