"rockdoveid","entrezid","genbankid","name","geneid","logFC","logCPM","F","PValue","FDR"
"6715","NODE_91705_length_297_cov_1.1405",415881,"XM_015292692.1","PHLPP2",415881,-3.66958577690002,6.61432981464742,66.4863796190698,1.39580741679627e-13,2.40944276287372e-09
"8387","RockDoveHPG_Transcript_35012",418091,"NM_001195795.1","annotated",418091,3.80947773275036,0.450751741241729,39.8937137297812,2.93363631569572e-09,2.53202150407698e-05
"10435","RockDoveHPG_Transcript_37402",420716,"XM_015281505.1","LOC420716",420716,4.67989300612651,2.38676023629302,37.5690409282022,7.55295466847089e-09,4.34597011623815e-05
"4002","RockDoveHPG_Transcript_68263",107055593,"XR_001470596.1","LOC107055593",107055593,-6.4097870996311,6.97203927227149,36.9390245869029,1.03332118140925e-08,4.4592975583716e-05
"14134","RockDoveHPG_Transcript_16474",426311,"XM_423974.5","RBM34",426311,1.65997383071078,5.27002493443228,35.8638653868395,1.52165998008723e-08,5.25337891525316e-05
"6927","RockDoveHPG_Transcript_17594",416152,"XM_004944815.2","TTC1",416152,1.23047692068492,5.90933007909868,31.0191446555006,1.16266562748994e-07,0.000334498901028857
"11380","RockDoveHPG_Transcript_25981",421919,"XM_004940515.2","RPS7",421919,1.7462311280772,8.48668845613328,29.8419074845386,1.92516118793705e-07,0.000474744748945276
"267","RockDoveHPG_Transcript_13638",100857921,"XM_015280650.1","LOC100857921",100857921,2.38472347587133,9.33361439726619,27.3296321498163,5.75545559212201e-07,0.00124188343039013
"12622","RockDoveHPG_Transcript_10857",423548,"XM_421441.4","AP5M1",423548,2.66377618499308,5.56224553625295,25.8231552280958,1.12578857896975e-06,0.00215916275545357
"13170","RockDoveHPG_Transcript_21713",424250,"XR_001467557.1","SEC22A",424250,1.46852195481651,5.76750486382913,25.5455396082817,1.25081841933355e-06,0.00215916275545357
