"rockdoveid","entrezid","genbankid","name","geneid","logFC","logCPM","F","PValue","FDR"
"15170","RockDoveHPG_Transcript_53580",428310,"NM_001010842.2","HSP25",428310,-2.54020251851013,4.05063968196978,26.969808591313,6.68767038084532e-07,0.00478272877551913
"11731","RockDoveHPG_Transcript_10481",422387,"XM_015278648.1","MTMR1",422387,1.17189366742665,5.97067159131582,25.8956866522083,1.07161294196185e-06,0.00478272877551913
"12531","RockDoveHPG_Transcript_43901",423433,"NM_001277492.1","SERPINA4",423433,-3.65317071233313,1.259492579287,25.8462011137221,1.09526456157141e-06,0.00478272877551913
"14941","NODE_21811_length_803_cov_12.3797",427891,"XM_425465.3","HIST1H2A4L2",427891,-2.48171069515447,1.68227821740602,25.8194557161554,1.10826758788533e-06,0.00478272877551913
"1252","RockDoveHPG_Transcript_20372",101749540,"XM_015293982.1","LOC101749540",101749540,4.03908776385127,3.15325583232148,25.1345982438494,1.62711415899768e-06,0.00561744892252361
"1042","RockDoveHPG_Transcript_28743",101748426,"XM_004942581.2","LOC101748426",101748426,-2.11869613295455,5.76034537056506,24.3608170940687,2.13496065355476e-06,0.00614228180027704
"12515","RockDoveHPG_Transcript_30467",423414,"XM_421324.4","TRIP11",423414,-1.4596995454977,7.0077503270985,22.9817312288257,3.92934928221344e-06,0.00967624894058993
"5590","RockDoveHPG_Transcript_48886",395878,"XM_015287288.1","PAPOLA",395878,0.656268683097283,6.87282583682217,22.6873062524029,4.48441614672225e-06,0.00967624894058993
"3995","NODE_305381_length_127_cov_3769.94",107055569,"XM_015300744.1","LOC107055569",107055569,-3.85892239035925,-1.49818417266685,22.0440907055665,6.43693458348593e-06,0.012346040531126
"14622","RockDoveHPG_Transcript_1284",427348,"XM_015280147.1","DOCK8",427348,0.693314947804546,6.26658956968654,20.6430907489547,1.13643621898669e-05,0.0196171620121482
"10560","RockDoveHPG_Transcript_25022",420873,"NM_001198731.1","NRN1",420873,3.7624148249667,4.58438824695956,20.0504742313736,1.4938123104668e-05,0.0234419891847981
"7703","RockDoveHPG_Transcript_22755",417189,"XM_415471.5","C17H9ORF78",417189,0.853282192634998,6.75002207421039,19.831826725115,1.65039694755309e-05,0.0237409600905512
"8802","RockDoveHPG_Transcript_16857",418600,"XM_015302445.1","ACOT9",418600,0.90568815096582,6.23125357922126,18.7011618453793,2.78735233189383e-05,0.0370117507331932
