ENTREZ_GENE_ID,Name,Species,Notes
107056682,uncharacterized LOC107056682(LOC107056682),Gallus gallus,
420375,cell division cycle 25A(CDC25A),Gallus gallus,
107051926,uncharacterized LOC107051926(LOC107051926),Gallus gallus,
769580,microsomal triglyceride transfer protein-like(MTTPL),Gallus gallus,
107055013,uncharacterized LOC107055013(LOC107055013),Gallus gallus,
107054237,SKI family transcriptional corepressor 1(SKOR1),Gallus gallus,
419054,chordin-like 2(CHRDL2),Gallus gallus,
417953,histone H3.2-like(LOC417953),Gallus gallus,
107050828,MAPK-interacting and spindle-stabilizing protein-like(LOC107050828),Gallus gallus,
107054783,uncharacterized LOC107054783(LOC107054783),Gallus gallus,
418229,metallophosphoesterase domain containing 1(MPPED1),Gallus gallus,
771190,Sjoegren syndrome nuclear autoantigen 1-like(LOC771190),Gallus gallus,
107054486,protocadherin gamma-A5-like(LOC107054486),Gallus gallus,
426344,translation initiation factor IF-2-like(LOC426344),Gallus gallus,
428259,patatin-like phospholipase domain containing 1(PNPLA1),Gallus gallus,
374135,connective tissue growth factor(CTGF),Gallus gallus,
101748316,fragile X mental retardation 1 neighbor(FMR1NB),Gallus gallus,
107054491,uncharacterized LOC107054491(LOC107054491),Gallus gallus,
100526758,"oligosaccharyltransferase complex subunit 4, non-catalytic(OST4)",Gallus gallus,
426819,deleted in malignant brain tumors 1(DMBT1),Gallus gallus,
101747779,bromodomain adjacent to zinc finger domain protein 2A-like(LOC101747779),Gallus gallus,
421740,sulfotransferase family 3A,Gallus gallus,
100858617,cytosolic purine 5'-nucleotidase-like(LOC100858617),Gallus gallus,
395713,transcription factor AP-2 beta (activating enhancer binding protein 2 beta)(TFAP2B),Gallus gallus,
107053298,uncharacterized LOC107053298(LOC107053298),Gallus gallus,
100859572,melanin-concentrating hormone receptor 1(MCHR1),Gallus gallus,
107054746,cyclin dependent kinase 3(CDK3),Gallus gallus,
100858621,WD repeat domain 74(WDR74),Gallus gallus,
420947,dopa decarboxylase (aromatic L-amino acid decarboxylase)(DDC),Gallus gallus,
427836,family with sequence similarity 57,Gallus gallus,
100857119,protocadherin beta-4-like(LOC100857119),Gallus gallus,
396423,villin 1(VIL1),Gallus gallus,
425545,maltase-glucoamylase (alpha-glucosidase)(MGAM),Gallus gallus,
107057629,F-box and WD repeat domain containing 9(FBXW9),Gallus gallus,
428783,NIPA-like domain containing 1(NIPAL1),Gallus gallus,
419274,RAS (RAD and GEM)-like GTP-binding 1(REM1),Gallus gallus,
